dataset,stage,component,backend,runtime_s
EN_FR_15K_V2,metric,connectivity,pandas,1.0378392920029
EN_FR_15K_V2,metric,long_tail,pandas,0.010302333001163788
EN_FR_15K_V2,metric,attribute_completeness,pandas,0.06599904099857667
EN_FR_15K_V2,metric,type_distribution,pandas,0.004659415993955918
EN_FR_15K_V2,metric,schema_heterogeneity,pandas,0.01631887500116136
EN_FR_15K_V2,metric,aligned_consistency,pandas,0.10598312499496387
EN_FR_15K_V2,metric,alignment_metrics,pandas,0.014409541996428743
EN_FR_15K_V2,metric,alignment_reachability,pandas,0.16749833300127648
EN_FR_15K_V2,matcher,value_overlap,pandas,0.6089626670000143
EN_FR_15K_V2,matcher,structural_propagation,pandas,9.812005125000724
EN_FR_15K_V2,matcher,paris,pandas,11.912001666001743
